Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
пугв,68,66,65,15,125786,0.4117647058823529,0.2,0.19117647058823528,3
сигнальная лента зубр цвет краснобелый, 50мм х 200м, 1224050200,68,66,49,35,51088,0.7058823529411765,0.6938775510204082,0.5,3
клещи обжимные rj45,68,67,64,29,79893,0.6617647058823529,0.40625,0.38235294117647056,3
хомуты шарнирные (силовые),68,64,72,23,68401,0.5294117647058824,0.3194444444444444,0.3382352941176471,3
шурупы,68,68,12,6,3022,0.17647058823529413,0.5,0.08823529411764706,3
розетка 380,68,64,47,20,76434,0.4411764705882353,0.3191489361702128,0.22058823529411764,3
уплотнитель,68,65,14,3,4417,0.16176470588235295,0.21428571428571427,0.04411764705882353,3
дюбель гвоздь,68,66,47,20,37164,0.5147058823529411,0.425531914893617,0.29411764705882354,3
плиткорезы,68,62,26,8,317085,0.25,0.3076923076923077,0.11764705882352941,3
головки,68,66,33,7,17120,0.14705882352941177,0.21212121212121213,0.10294117647058823,3
масло моторное,68,64,31,13,32960,0.3235294117647059,0.3548387096774194,0.16176470588235295,3
скотч двухсторонний,68,67,74,36,89075,0.7794117647058824,0.4594594594594595,0.5,3
гайки din 934 м16,68,66,56,29,39544,0.5441176470588235,0.48214285714285715,0.39705882352941174,3
222413,67,49,25,8,16062,0.3283582089552239,0.28,0.1044776119402985,3
водосгоны,67,63,58,30,77668,0.6567164179104478,0.5,0.43283582089552236,3
переноска,67,67,17,9,40846,0.23880597014925373,0.5294117647058824,0.13432835820895522,3
шпатлевка,67,65,26,7,17434,0.2537313432835821,0.2692307692307692,0.1044776119402985,3
zitrek,67,62,30,11,119385,0.26865671641791045,0.36666666666666664,0.16417910447761194,3
прутки присадочные для аргонодуговой сварки,67,62,57,20,133070,0.5074626865671642,0.3333333333333333,0.2835820895522388,3
краска серая,67,66,21,11,20618,0.2835820895522388,0.5238095238095238,0.16417910447761194,3
противооткатные упоры,67,65,47,27,74151,0.5671641791044776,0.5106382978723404,0.3582089552238806,3
перчатки х/б,67,64,48,22,80578,0.5522388059701493,0.4375,0.31343283582089554,3
сумка для инструментов,67,67,6,2,2681,0.08955223880597014,0.3333333333333333,0.029850746268656716,3
масла трансмиссионные,67,65,36,22,137386,0.4626865671641791,0.5555555555555556,0.29850746268656714,3
совковая рельсовая лопата с черенком gigant с ребрами жесткости gss01,67,64,32,23,104018,0.44776119402985076,0.6875,0.3283582089552239,3
круг отрезной по металлу (125x1.0x22.2 мм) россия 73654,67,64,46,34,137889,0.6716417910447762,0.7391304347826086,0.5074626865671642,3
глубинные насосы для скважин,67,65,22,13,294798,0.26865671641791045,0.5454545454545454,0.1791044776119403,3
папки планшеты,67,63,60,28,13378,0.7611940298507462,0.43333333333333335,0.3880597014925373,3
виброплиты бензиновые,67,64,40,20,938613,0.44776119402985076,0.45,0.26865671641791045,3
индустриальные масла,67,65,44,15,83719,0.5074626865671642,0.3409090909090909,0.22388059701492538,3
тангит,67,65,7,2,14756,0.08955223880597014,0.2857142857142857,0.029850746268656716,3
шланги высокого давления для моек,67,62,28,11,123890,0.3283582089552239,0.35714285714285715,0.14925373134328357,3
cr2450,67,64,49,30,28455,0.6865671641791045,0.6122448979591837,0.44776119402985076,3
перчатки из козьей кожи start tigmaster stg0330,67,66,61,37,116727,0.8208955223880597,0.5573770491803278,0.5074626865671642,3
стол письменный,67,60,33,13,111358,0.373134328358209,0.3333333333333333,0.16417910447761194,3
буровые коронки по бетону,67,63,48,18,74940,0.5074626865671642,0.3541666666666667,0.2537313432835821,3
ламинат,67,60,20,6,53708,0.23880597014925373,0.3,0.08955223880597014,3
замок почтовый,66,65,35,18,38566,0.4393939393939394,0.5142857142857142,0.2727272727272727,3
дюбель хомут,66,61,69,26,25908,0.6818181818181818,0.3333333333333333,0.3484848484848485,3
перчатки зубр,66,58,75,29,155676,0.7424242424242424,0.3466666666666667,0.3939393939393939,3
батарейка gigant alkaline ааа/lr03 блистер 12 шт. gba3a12,66,65,18,10,3442,0.24242424242424243,0.5555555555555556,0.15151515151515152,3
фильтр противогазовый для защиты от органических газов и паров, а1, 2 шт. jeta safety 6510,66,63,48,31,156776,0.6666666666666666,0.6041666666666666,0.4393939393939394,3
каска белая,66,62,45,27,51991,0.6060606060606061,0.5333333333333333,0.36363636363636365,3
мерные стаканы,66,63,32,12,4772,0.3787878787878788,0.34375,0.16666666666666666,3
приварные отводы,66,65,38,13,49466,0.3939393939393939,0.34210526315789475,0.19696969696969696,3
колеса и ролики для гидравлических тележек (рохлей),66,62,27,7,15258,0.36363636363636365,0.25925925925925924,0.10606060606060606,3
шпилька м6,66,42,37,19,24529,0.42424242424242425,0.43243243243243246,0.24242424242424243,3
жилет,66,62,33,18,90550,0.3939393939393939,0.48484848484848486,0.24242424242424243,3
стрейч пленка gigant 1 сорт, 500х20мкм sf11,66,65,29,21,49945,0.4090909090909091,0.6551724137931034,0.2878787878787879,3
очиститель контактов,66,64,57,28,77110,0.7424242424242424,0.47368421052631576,0.4090909090909091,3
масло компрессорное,66,63,45,26,53944,0.6363636363636364,0.5555555555555556,0.3787878787878788,3
пневматические брс,66,60,30,14,37896,0.3181818181818182,0.4666666666666667,0.21212121212121213,3
метчик м4,66,61,52,13,10518,0.5606060606060606,0.25,0.19696969696969696,3
инфракрасные обогреватели,66,63,35,17,151363,0.36363636363636365,0.45714285714285713,0.24242424242424243,3
установки алмазного бурения,66,64,27,7,407839,0.24242424242424243,0.25925925925925924,0.10606060606060606,3
шплинт,66,62,42,14,96485,0.42424242424242425,0.2857142857142857,0.18181818181818182,3
ленточные шлифмашины,66,61,15,5,47165,0.18181818181818182,0.3333333333333333,0.07575757575757576,3
мовиль,66,66,28,16,28781,0.42424242424242425,0.5714285714285714,0.24242424242424243,3
сверло по бетону,66,62,46,12,14718,0.4090909090909091,0.2608695652173913,0.18181818181818182,3
газосварочные горелки,66,65,28,10,36471,0.36363636363636365,0.35714285714285715,0.15151515151515152,3
краска белая,66,63,22,8,42616,0.2727272727272727,0.3181818181818182,0.10606060606060606,3
шуруповерт макита,66,64,44,11,313394,0.42424242424242425,0.22727272727272727,0.15151515151515152,3
сборные грядки,66,64,18,3,38048,0.18181818181818182,0.16666666666666666,0.045454545454545456,3
бутылочные сифоны,65,63,56,35,96156,0.676923076923077,0.5357142857142857,0.46153846153846156,3
винт м5,65,63,53,17,12218,0.4461538461538462,0.3018867924528302,0.24615384615384617,3
автомобильные насосы,65,65,8,6,10187,0.1076923076923077,0.625,0.07692307692307693,3
одеяла,65,62,44,20,299878,0.5230769230769231,0.4318181818181818,0.2923076923076923,3
савок,65,65,59,24,44418,0.6153846153846154,0.3389830508474576,0.3076923076923077,3
винт м6,65,59,38,13,8231,0.38461538461538464,0.2631578947368421,0.15384615384615385,3
соединители и коннекторы для шлангов,65,63,56,20,9369,0.5384615384615384,0.3392857142857143,0.2923076923076923,3
анкер забивной,65,64,34,18,52183,0.46153846153846156,0.5,0.26153846153846155,3
слесарные верстаки,65,62,33,6,489562,0.26153846153846155,0.18181818181818182,0.09230769230769231,3
набор комбинированных ключей, 6  32 мм, 25 шт., matrix 15425,65,63,31,18,203033,0.4461538461538462,0.5483870967741935,0.26153846153846155,3
шприц для смазки,65,64,48,17,52426,0.5692307692307692,0.3541666666666667,0.26153846153846155,3
аккумуляторная дрельшуруповерт makita df347dwe,65,61,32,18,418633,0.47692307692307695,0.53125,0.26153846153846155,3
панели с лотками и лотки,65,64,18,6,10849,0.23076923076923078,0.3333333333333333,0.09230769230769231,3
ведро пластиковое,65,64,64,18,27233,0.49230769230769234,0.234375,0.23076923076923078,3
закрытые защитные очки,65,63,45,29,33664,0.5846153846153846,0.5777777777777777,0.4,3
щетка для уборки,65,62,29,18,38175,0.3230769230769231,0.5517241379310345,0.24615384615384617,3
диэлектрические перчатки,65,63,44,16,59609,0.47692307692307695,0.3181818181818182,0.2153846153846154,3
гибкие газовые подводки и шланги,65,64,46,17,68384,0.46153846153846156,0.34782608695652173,0.24615384615384617,3
трещотка gigant 1/2 grw12,65,61,42,22,44541,0.5538461538461539,0.4523809523809524,0.2923076923076923,3
заклепочники для резьбовых заклепок,65,62,34,16,59543,0.4,0.4411764705882353,0.23076923076923078,3
краска по ржавчине,65,61,31,10,24502,0.36923076923076925,0.3225806451612903,0.15384615384615385,3
стабилизатор,65,64,22,14,158451,0.2923076923076923,0.5454545454545454,0.18461538461538463,3
аккумуляторные лобзики,65,64,35,10,174780,0.24615384615384617,0.2571428571428571,0.13846153846153847,3
угловые шлифовальные машины (болгарки) 125 мм,65,63,68,20,194044,0.5692307692307692,0.2647058823529412,0.27692307692307694,3
гвозди 100,65,61,50,18,57158,0.676923076923077,0.32,0.24615384615384617,3
наборы сверл и бит для шуруповертов,65,65,32,13,45446,0.38461538461538464,0.375,0.18461538461538463,3
анкер клин,65,61,24,11,48095,0.2923076923076923,0.4583333333333333,0.16923076923076924,3
циркулярные станки (распиловочные),65,62,13,8,167369,0.18461538461538463,0.5384615384615384,0.1076923076923077,3
крюк,65,64,2,1,123,0.015384615384615385,0.5,0.015384615384615385,3
сверло ступенчатое 1045 мм, 8 ступеней vertextools 1045,64,63,9,3,7011,0.140625,0.3333333333333333,0.046875,3
огнетушитель оп4,64,60,38,20,111666,0.453125,0.39473684210526316,0.234375,3
гвозди 4х100 мм,64,60,73,26,116138,0.78125,0.3287671232876712,0.375,3
сухие смеси,64,63,17,2,23996,0.140625,0.11764705882352941,0.03125,3
огнетушитель оп5,64,61,36,20,168370,0.515625,0.5,0.28125,3
краны подъемные,64,60,17,4,106166,0.25,0.23529411764705882,0.0625,3
противошумные наушники росомз сомз3 пума 60300,64,64,39,27,26536,0.5625,0.6153846153846154,0.375,3
наборы метчиков,64,64,45,17,79090,0.578125,0.3333333333333333,0.234375,3
ножницы по металлу, прямой рез inforce 061838,64,63,17,11,20836,0.265625,0.6470588235294118,0.171875,3
гидравлический ручной пресс квт пгр70 52065,64,64,37,22,97911,0.578125,0.5945945945945946,0.34375,3
набор комбинированных ключей 12 шт на холдере дт/10 дело техники 511120,64,58,51,37,126015,0.703125,0.6862745098039216,0.546875,3
гигрометры,64,61,32,14,63529,0.40625,0.375,0.1875,3
растворитель р646 арикон гост 181882020, бутылка пэт 1 л ras6461,64,64,43,30,61678,0.671875,0.6976744186046512,0.46875,3
встраиваемые точечные светильники,64,63,34,11,47777,0.390625,0.3235294117647059,0.171875,3
полотно для сабельной пилы,64,61,69,19,50162,0.5,0.18840579710144928,0.203125,3
провода для прикуривания,64,59,50,29,254136,0.65625,0.56,0.4375,3
висячий замок apecs pdr5045l 16259,64,63,45,30,51957,0.625,0.5555555555555556,0.390625,3
канализационные фитинги,64,59,82,16,13066,0.546875,0.18292682926829268,0.234375,3
набор комбинированных ключей 22 шт сумка дт/4 дело техники 511220,64,56,49,28,313401,0.6875,0.5714285714285714,0.4375,3
оп5,64,58,35,20,118598,0.46875,0.5428571428571428,0.296875,3
провод и кабель сип,64,59,27,7,57321,0.390625,0.25925925925925924,0.109375,3
налобный фонарь gigant hl02,64,63,29,16,51863,0.4375,0.5517241379310345,0.25,3
кейс,64,62,35,13,50207,0.4375,0.34285714285714286,0.1875,3
клей 88luxe,64,62,55,27,266017,0.6875,0.4727272727272727,0.40625,3
быстросьем,64,64,28,8,38755,0.3125,0.25,0.109375,3
щиток,64,63,15,8,8285,0.1875,0.5333333333333333,0.125,3
аптечка для оказания первой помощи работникам фэст, футляр 82 (приказ 1331н) 2313,64,60,30,23,173651,0.4375,0.7,0.328125,3
ручные прессклещи,64,64,48,17,31449,0.53125,0.3125,0.234375,3
совковая лопата,64,61,75,30,143918,0.75,0.37333333333333335,0.4375,3
катушка для шланга,64,64,33,15,85483,0.4375,0.45454545454545453,0.234375,3
стяжки для крепления груза,63,61,23,8,9767,0.30158730158730157,0.30434782608695654,0.1111111111111111,3
метчик м3,63,48,33,10,14925,0.38095238095238093,0.2727272727272727,0.14285714285714285,3
вантуз,63,63,42,23,15435,0.6190476190476191,0.5,0.3333333333333333,3
розетки, колодки и цоколи для реле,63,62,16,7,21326,0.23809523809523808,0.4375,0.1111111111111111,3
обжимка,63,63,9,1,1308,0.1111111111111111,0.1111111111111111,0.015873015873015872,3
точильношлифовальные станки,63,61,13,4,27773,0.15873015873015872,0.3076923076923077,0.06349206349206349,3
переходники и адаптеры,63,63,11,4,3733,0.1111111111111111,0.36363636363636365,0.06349206349206349,3
nordberg,63,61,34,7,197930,0.2857142857142857,0.17647058823529413,0.09523809523809523,3
мелки строительные разметочные,63,58,49,24,10419,0.6984126984126984,0.4897959183673469,0.38095238095238093,3
валик 250 мм matrix 80661,63,59,48,25,53306,0.6984126984126984,0.5,0.38095238095238093,3
изолента белая,63,58,67,30,27846,0.7777777777777778,0.43283582089552236,0.4603174603174603,3
смывка красок и лаков,63,61,63,18,46277,0.6666666666666666,0.2857142857142857,0.2857142857142857,3
penoplex,63,63,21,7,365097,0.2698412698412698,0.3333333333333333,0.1111111111111111,3
клейкая малярная лента gigant 50 мм х 50 м gt304010,63,60,34,21,55221,0.5238095238095238,0.6176470588235294,0.3333333333333333,3
набор напильников по металлу vira 200 мм, зернистость 2 820006,63,60,38,24,82518,0.5396825396825397,0.6052631578947368,0.36507936507936506,3
поролон,63,56,23,11,58290,0.2698412698412698,0.391304347826087,0.14285714285714285,3
противогазы,63,59,22,8,41055,0.2222222222222222,0.36363636363636365,0.12698412698412698,3
носилки,63,52,7,4,32874,0.1111111111111111,0.5714285714285714,0.06349206349206349,3
сверла форстнера,63,60,58,17,17134,0.47619047619047616,0.22413793103448276,0.20634920634920634,3
ключ трещетка,63,61,32,16,36104,0.4444444444444444,0.46875,0.23809523809523808,3
полировальные пасты,63,61,75,23,42177,0.6031746031746031,0.29333333333333333,0.3492063492063492,3
видеокамеры для видеонаблюдения,63,60,16,9,67366,0.20634920634920634,0.5,0.12698412698412698,3
круги фибровые шлифовальные,63,59,42,16,51815,0.3333333333333333,0.30952380952380953,0.20634920634920634,3
liqui moly,63,54,17,3,8024,0.12698412698412698,0.17647058823529413,0.047619047619047616,3
наборы клемм, сжимов и кабельных наконечников,63,62,57,19,31770,0.5079365079365079,0.3157894736842105,0.2857142857142857,3
набор диэлектрических отверток,63,63,29,12,23064,0.4126984126984127,0.41379310344827586,0.19047619047619047,3
текстовыделители,63,61,51,19,5065,0.6507936507936508,0.35294117647058826,0.2857142857142857,3
конвекторы отопления,63,60,35,15,176264,0.4444444444444444,0.4,0.2222222222222222,3
плоская веерная пластиковая метла с черенком спец кпб230835,63,59,32,19,24313,0.5079365079365079,0.59375,0.30158730158730157,3
таз,63,61,27,10,21282,0.36507936507936506,0.37037037037037035,0.15873015873015872,3
трубный рычажный ключ №1 gross 15601,63,60,40,23,68673,0.6031746031746031,0.575,0.36507936507936506,3
wago 221413,63,62,61,23,97619,0.6349206349206349,0.36065573770491804,0.3492063492063492,3
лента алюминиевая металлизированная,63,63,42,17,38342,0.5873015873015873,0.40476190476190477,0.2698412698412698,3
набор бит 61 шт gigant g11333,63,60,24,15,22392,0.3492063492063492,0.5833333333333334,0.2222222222222222,3
раскладушки,63,61,38,21,230092,0.5238095238095238,0.5526315789473685,0.3333333333333333,3
напильник плоский,63,53,38,16,16376,0.47619047619047616,0.39473684210526316,0.23809523809523808,3
электрика и свет,63,61,74,8,140505,0.3968253968253968,0.10810810810810811,0.12698412698412698,3
полотно вафельное,63,57,33,24,197048,0.47619047619047616,0.7272727272727273,0.38095238095238093,3
uклипса для гофры rucelf серая d20 укб20с 50 шт. ка00007235,62,62,33,22,47791,0.45161290322580644,0.5454545454545454,0.2903225806451613,3
паллеты и поддоны,62,60,35,14,405527,0.41935483870967744,0.37142857142857144,0.20967741935483872,3
веник любаша премиум сорго 6ти прошивной 604230,62,60,44,31,62315,0.6129032258064516,0.6590909090909091,0.46774193548387094,3
шланг резиновый,62,59,23,13,61610,0.3387096774193548,0.5652173913043478,0.20967741935483872,3
трапы для слива воды,62,54,22,7,25231,0.25806451612903225,0.3181818181818182,0.11290322580645161,3
кабель кг,62,56,35,11,115860,0.43548387096774194,0.3142857142857143,0.1774193548387097,3
макловицы,62,58,45,28,67438,0.5645161290322581,0.5777777777777777,0.41935483870967744,3
резьбомеры (шаблоны для определения шага резьбы),62,61,55,19,14452,0.6612903225806451,0.32727272727272727,0.2903225806451613,3
кофеварки и кофемашины,62,60,16,5,91669,0.20967741935483872,0.3125,0.08064516129032258,3
газовый баллон turbojet с мапп газом tj453m,62,53,38,24,128714,0.5967741935483871,0.6052631578947368,0.3709677419354839,3
пва,62,56,28,13,7992,0.4032258064516129,0.42857142857142855,0.1935483870967742,3
бур 6х160 мм, sds+ резолюкс 15005,62,61,32,21,20780,0.46774193548387094,0.5625,0.2903225806451613,3
цилиндровый механизм,62,62,49,18,101364,0.46774193548387094,0.3469387755102041,0.27419354838709675,3
ваго,62,61,65,15,92269,0.43548387096774194,0.15384615384615385,0.16129032258064516,3
пенополистирол,62,60,7,2,213110,0.0967741935483871,0.2857142857142857,0.03225806451612903,3
прямая однофазная вилка, каучук universal 602227,62,55,45,30,30817,0.6774193548387096,0.6444444444444445,0.46774193548387094,3
электроды 3мм,62,59,36,22,75703,0.532258064516129,0.5555555555555556,0.3225806451612903,3
отвертка плоская,62,59,60,24,12047,0.7741935483870968,0.38333333333333336,0.3709677419354839,3
фильтр воздушный,62,57,8,5,10493,0.11290322580645161,0.625,0.08064516129032258,3
кран буксы,61,57,56,17,53021,0.5573770491803278,0.30357142857142855,0.2786885245901639,3
мусорный бак,61,60,18,12,25749,0.19672131147540983,0.4444444444444444,0.13114754098360656,3
часы настенные,61,58,43,16,44626,0.5081967213114754,0.3488372093023256,0.2459016393442623,3
перфоратор макита,61,60,52,14,531930,0.47540983606557374,0.25,0.21311475409836064,3
антискотч,61,54,57,24,27083,0.6557377049180327,0.38596491228070173,0.36065573770491804,3
чашка алмазная,61,58,34,15,120081,0.45901639344262296,0.4117647058823529,0.22950819672131148,3
шпилька м20,61,59,35,21,120771,0.4262295081967213,0.4857142857142857,0.2786885245901639,3
скамья,61,57,17,7,98503,0.18032786885245902,0.35294117647058826,0.09836065573770492,3
сливная арматура для унитаза,61,59,54,20,49299,0.6065573770491803,0.35185185185185186,0.3114754098360656,3
бензорез,61,58,16,8,1115266,0.19672131147540983,0.4375,0.11475409836065574,3
пресс клещи,61,60,8,5,25893,0.11475409836065574,0.625,0.08196721311475409,3
коннектор,61,60,15,7,10051,0.18032786885245902,0.4666666666666667,0.11475409836065574,3
22873935,61,56,29,21,421217,0.45901639344262296,0.6896551724137931,0.32786885245901637,3
адаптеры и удлинители для торцевых головок,61,60,45,19,28790,0.45901639344262296,0.4222222222222222,0.3114754098360656,3
накладные розетки,61,60,79,23,45016,0.6721311475409836,0.26582278481012656,0.3442622950819672,3
кисть 50 мм,61,60,40,28,39050,0.5737704918032787,0.65,0.4262295081967213,3
пруток металлический,61,59,8,3,2005,0.09836065573770492,0.375,0.04918032786885246,3
смеситель для душа,61,60,40,20,171669,0.5245901639344263,0.475,0.3114754098360656,3
маслобензостойкие автомобильные шланги,61,60,42,18,73081,0.4262295081967213,0.42857142857142855,0.29508196721311475,3
болгарки 230 мм,61,61,56,29,499824,0.6557377049180327,0.48214285714285715,0.4426229508196721,3
дисковая пила,61,61,38,17,241924,0.4098360655737705,0.42105263157894735,0.26229508196721313,3
denzel,61,56,6,1,5985,0.08196721311475409,0.16666666666666666,0.01639344262295082,3
скобы такелажные (шаклы),61,59,76,26,110761,0.6229508196721312,0.3157894736842105,0.39344262295081966,3
профессиональная изолента aviora пвх, 19 мм, 20 м, черная 305030,61,57,46,32,35749,0.7213114754098361,0.6521739130434783,0.4918032786885246,3
краги сварочные,61,60,49,23,63104,0.7213114754098361,0.46938775510204084,0.3770491803278688,3
блок розеток,61,60,13,5,18979,0.19672131147540983,0.38461538461538464,0.08196721311475409,3
точило,61,59,24,12,72772,0.2786885245901639,0.4583333333333333,0.18032786885245902,3
складная тележка gigant hy120,61,58,15,7,37982,0.18032786885245902,0.4,0.09836065573770492,3
бензин,61,57,43,18,122351,0.5573770491803278,0.4186046511627907,0.29508196721311475,3
мебель,61,58,28,5,71893,0.18032786885245902,0.17857142857142858,0.08196721311475409,3
фильтры для автомобилей,61,58,20,8,5106,0.26229508196721313,0.4,0.13114754098360656,3
настенные вешалки ,61,59,60,21,28536,0.7049180327868853,0.3333333333333333,0.32786885245901637,3
динамометрические отвертки,61,58,22,7,91569,0.2459016393442623,0.22727272727272727,0.08196721311475409,3
чертилка,61,58,39,21,15889,0.6229508196721312,0.5384615384615384,0.3442622950819672,3
набор автомобилиста,60,52,33,18,124907,0.5166666666666667,0.5454545454545454,0.3,3
урна уличная,60,57,30,12,45383,0.4,0.36666666666666664,0.18333333333333332,3
сверло 5,60,58,53,29,194600,0.6666666666666666,0.5094339622641509,0.45,3
сальник,60,58,14,6,11212,0.16666666666666666,0.35714285714285715,0.08333333333333333,3
штангельциркуль,60,58,46,20,47907,0.65,0.41304347826086957,0.31666666666666665,3
черенок для лопаты,60,57,44,23,72666,0.65,0.45454545454545453,0.3333333333333333,3
нутромер,60,57,30,15,280672,0.4,0.5,0.25,3
канальный вентилятор,60,54,29,13,182341,0.4166666666666667,0.4482758620689655,0.21666666666666667,3
насос погружной,60,59,25,9,66648,0.4,0.36,0.15,3
крючки для вязки арматуры,60,58,46,21,43785,0.7333333333333333,0.43478260869565216,0.3333333333333333,3
кабельканал,60,58,45,16,49753,0.5333333333333333,0.28888888888888886,0.21666666666666667,3
штанги, штативы для нивелиров и уровней,60,57,29,12,46955,0.4666666666666667,0.41379310344827586,0.2,3
пилка для лобзика,60,60,79,25,27701,0.7666666666666667,0.31645569620253167,0.4166666666666667,3
светодиодная лента,60,58,31,10,27335,0.36666666666666664,0.2903225806451613,0.15,3
очиститель,60,60,24,5,3865,0.21666666666666667,0.20833333333333334,0.08333333333333333,3
пнд тройники,60,58,49,16,11789,0.5166666666666667,0.32653061224489793,0.26666666666666666,3
армирующие сетки,60,58,24,8,27605,0.31666666666666665,0.3333333333333333,0.13333333333333333,3
клей для плитки,60,55,24,3,11210,0.2,0.08333333333333333,0.03333333333333333,3
автомойка,60,58,13,3,62506,0.18333333333333332,0.23076923076923078,0.05,3
огнетушитель gigant оп4 з авсе gt4,60,58,17,9,52541,0.2833333333333333,0.5294117647058824,0.15,3
dkc,60,57,68,8,43621,0.31666666666666665,0.10294117647058823,0.11666666666666667,3
тряпка для пола,60,58,48,12,8838,0.6,0.20833333333333334,0.16666666666666666,3
диспенсер для мыла,60,59,32,10,48060,0.45,0.28125,0.15,3
акриловая краска в баллончиках,60,60,67,25,36979,0.7,0.373134328358209,0.4166666666666667,3
двухпроводная клемма gigant 50 шт/уп gct22241250,60,59,18,12,11691,0.26666666666666666,0.5555555555555556,0.16666666666666666,3
соль таблетированная,60,56,17,9,141801,0.2833333333333333,0.5294117647058824,0.15,3
гайки самоконтрящиеся,60,58,43,23,25349,0.6333333333333333,0.5348837209302325,0.38333333333333336,3
наборы для уборки совок и щетка,60,59,45,18,48181,0.5333333333333333,0.37777777777777777,0.2833333333333333,3
вентиляция,60,58,14,1,9531,0.1,0.07142857142857142,0.016666666666666666,3
ручные заклепочники,60,60,53,32,68531,0.6833333333333333,0.5283018867924528,0.4666666666666667,3
27184584,60,54,37,30,346411,0.55,0.7567567567567568,0.4666666666666667,3
кровать,60,58,15,6,283513,0.21666666666666667,0.3333333333333333,0.08333333333333333,3
мизинчиковые батарейки aaa,60,57,87,38,68877,0.7833333333333333,0.3793103448275862,0.55,3
брс,59,53,16,5,6368,0.1864406779661017,0.3125,0.0847457627118644,3
ручка шариковая,59,57,62,24,11234,0.7457627118644068,0.3548387096774194,0.3728813559322034,3
гайка м5,59,58,48,24,6887,0.6610169491525424,0.4791666666666667,0.3898305084745763,3
строительные ведра и кадки,59,54,58,28,25994,0.711864406779661,0.46551724137931033,0.4576271186440678,3
нутромеры,59,54,30,10,103036,0.3050847457627119,0.3333333333333333,0.1694915254237288,3
опрессовщики (опрессовочные насосы),59,57,39,24,346384,0.576271186440678,0.5384615384615384,0.3559322033898305,3
канистры для воды,59,57,35,20,53898,0.5084745762711864,0.5428571428571428,0.3220338983050847,3
фитинги пнд полиэтиленовые,59,49,83,15,20921,0.559322033898305,0.1566265060240964,0.22033898305084745,3
клей титан,59,52,26,15,124716,0.3728813559322034,0.5384615384615384,0.23728813559322035,3
четырехветвевые стропы 4ск (паук),59,58,21,15,167368,0.3050847457627119,0.7142857142857143,0.2542372881355932,3
труба гофрированная,59,58,7,2,38432,0.1016949152542373,0.2857142857142857,0.03389830508474576,3
ресиверы для компрессора,59,53,14,6,451691,0.22033898305084745,0.35714285714285715,0.0847457627118644,3
протяжка,59,55,41,12,23558,0.4576271186440678,0.2926829268292683,0.2033898305084746,3
кнопочные посты,59,59,34,12,15577,0.3898305084745763,0.3235294117647059,0.1864406779661017,3
промышленные пылесосы,59,57,14,5,100093,0.2033898305084746,0.35714285714285715,0.0847457627118644,3
шабер,59,55,6,3,32596,0.1016949152542373,0.5,0.05084745762711865,3
аккумуляторные опрыскиватели и распылители,59,58,34,8,36184,0.3220338983050847,0.23529411764705882,0.13559322033898305,3
длинногубцы,59,57,46,23,42329,0.559322033898305,0.41304347826086957,0.3220338983050847,3
термостойкие краски,59,56,46,17,69132,0.5254237288135594,0.32608695652173914,0.2542372881355932,3
потолочные светильники,59,59,6,4,7704,0.1016949152542373,0.6666666666666666,0.06779661016949153,3
серые эмали по ржавчине,59,57,57,18,113432,0.6101694915254238,0.2807017543859649,0.2711864406779661,3
компрессометры,59,59,19,12,43773,0.3050847457627119,0.631578947368421,0.2033898305084746,3
пароизоляция,59,55,34,15,63193,0.4406779661016949,0.4411764705882353,0.2542372881355932,3
коронки по дереву,59,58,14,6,2754,0.22033898305084745,0.42857142857142855,0.1016949152542373,3
алюминиевые уголки,59,56,30,11,58577,0.4406779661016949,0.36666666666666664,0.1864406779661017,3
кельма,59,57,46,13,23155,0.5084745762711864,0.2826086956521739,0.22033898305084745,3
удлинитель gigant пвс 3x2,5 30м на катушке 80074,59,57,30,22,220090,0.4745762711864407,0.6666666666666666,0.3389830508474576,3
дюбельгвоздь крепкомп борт потайной 6х40 200шт дг640,59,56,29,20,12340,0.4915254237288136,0.6896551724137931,0.3389830508474576,3
доместос,59,55,36,21,24064,0.5254237288135594,0.5555555555555556,0.3389830508474576,3
гидравлическая тележка gigant jhpt2000 ,59,58,25,19,398046,0.3898305084745763,0.68,0.288135593220339,3
резьбовые заклепки м6,59,57,45,20,36828,0.5423728813559322,0.4444444444444444,0.3389830508474576,3
бур 12,59,58,47,27,24722,0.6779661016949152,0.5319148936170213,0.423728813559322,3
краскораспылитель gigant sp 178,59,59,9,7,8940,0.15254237288135594,0.7777777777777778,0.11864406779661017,3
одноразовые стаканы,59,58,47,23,31975,0.6101694915254238,0.46808510638297873,0.3728813559322034,3
садовые качели,59,57,6,2,77191,0.1016949152542373,0.3333333333333333,0.03389830508474576,3
саморегулирующиеся греющие кабели,59,58,25,7,59502,0.3728813559322034,0.28,0.11864406779661017,3
полуавтомат,59,54,12,3,73361,0.15254237288135594,0.25,0.05084745762711865,3
мегаомметр,59,56,24,12,241362,0.3389830508474576,0.4166666666666667,0.1694915254237288,3
внутренние подрозетники и установочные коробки скрытой установки,59,57,49,24,34511,0.559322033898305,0.4489795918367347,0.3728813559322034,3
бесконтактные термометры (пирометры),59,56,34,15,54040,0.4067796610169492,0.35294117647058826,0.2033898305084746,3
