Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
утеплители (теплоизоляция),682,652,39,1,1273,0.03372434017595308,0.02564102564102564,0.001466275659824047,0
фен,680,657,103,3,6587,0.061764705882352944,0.02912621359223301,0.004411764705882353,0
электрические газонокосилки,677,629,129,3,55157,0.1137370753323486,0.023255813953488372,0.004431314623338257,0
кабель,670,641,84,1,213,0.07462686567164178,0.011904761904761904,0.0014925373134328358,0
геотекстиль,665,636,91,4,10554,0.10827067669172932,0.04395604395604396,0.006015037593984963,0
стрейч плёнка,661,630,98,5,6297,0.13010590015128592,0.05102040816326531,0.007564296520423601,0
роботы-мойщики окон,661,602,71,4,32469,0.07110438729198185,0.056338028169014086,0.006051437216338881,0
мотобур,652,627,56,2,23980,0.0598159509202454,0.017857142857142856,0.0015337423312883436,0
припой,652,613,122,3,379,0.13957055214723926,0.02459016393442623,0.004601226993865031,0
hilti,647,623,10,1,608,0.0061823802163833074,0.1,0.0015455950540958269,0
электрические триммеры,644,601,119,2,11130,0.09161490683229814,0.01680672268907563,0.003105590062111801,0
уголки перфорированные,639,622,122,9,3637,0.1267605633802817,0.05737704918032787,0.010954616588419406,0
пакеты для мусора,637,616,147,1,45,0.14599686028257458,0.006802721088435374,0.0015698587127158557,0
токарные станки,635,600,22,1,19180,0.023622047244094488,0.045454545454545456,0.0015748031496062992,0
жалюзи,631,587,117,4,9322,0.09033280507131537,0.03418803418803419,0.006339144215530904,0
очки,629,608,143,2,578,0.13513513513513514,0.013986013986013986,0.003179650238473768,0
органайзер,628,584,59,2,8178,0.07165605095541401,0.03389830508474576,0.0031847133757961785,0
садовые ручные опрыскиватели и пульверизаторы,627,610,131,9,4521,0.13237639553429026,0.061068702290076333,0.012759170653907496,0
магниты,625,614,6,3,462,0.008,0.3333333333333333,0.0032,0
фрезы по металлу,619,594,103,3,921,0.05492730210016155,0.02912621359223301,0.004846526655896607,0
дверные доводчики,611,574,117,3,3046,0.13584288052373159,0.02564102564102564,0.004909983633387889,0
платформенные тележки,608,587,89,1,4790,0.08552631578947369,0.011235955056179775,0.001644736842105263,0
умывальники для дачи,608,559,121,13,40892,0.13486842105263158,0.10743801652892562,0.02138157894736842,0
трубогибы,601,584,28,3,7167,0.03826955074875208,0.10714285714285714,0.004991680532445923,0
скарификатор,600,549,59,4,58598,0.08,0.06779661016949153,0.006666666666666667,0
плиткорез,598,576,45,4,26747,0.056856187290969896,0.08888888888888889,0.006688963210702341,0
струбцины,598,579,101,2,5561,0.08361204013377926,0.019801980198019802,0.0033444816053511705,0
сварочная маска,597,554,73,5,23120,0.08375209380234507,0.0684931506849315,0.008375209380234505,0
текстильные стропы (ленточные),595,570,173,2,4428,0.1411764705882353,0.011560693641618497,0.0033613445378151263,0
муфты для пластиковых труб,590,565,152,2,525,0.11186440677966102,0.013157894736842105,0.003389830508474576,0
глубинные насосы для скважин,584,548,71,1,11625,0.07876712328767123,0.014084507042253521,0.0017123287671232876,0
полиэтиленовая пленка,584,555,97,3,4371,0.125,0.030927835051546393,0.005136986301369863,0
фен строительный,577,544,127,5,10971,0.11265164644714037,0.03937007874015748,0.008665511265164644,0
тепловые пушки,576,534,55,10,24558,0.06770833333333333,0.18181818181818182,0.017361111111111112,0
термоусадочные трубки,573,558,152,1,38,0.11169284467713787,0.006578947368421052,0.0017452006980802793,0
квт,565,541,163,1,6190,0.09734513274336283,0.006134969325153374,0.0017699115044247787,0
каски защитные строительные,564,538,126,3,3398,0.16134751773049646,0.023809523809523808,0.005319148936170213,0
гидравлические рохли для склада,563,535,64,1,21300,0.07104795737122557,0.015625,0.0017761989342806395,0
лейки для душа,560,533,138,14,5597,0.15,0.10144927536231885,0.025,0
клещи,558,548,23,1,263,0.03763440860215054,0.043478260869565216,0.0017921146953405018,0
защитные открытые очки,557,541,140,6,1569,0.1615798922800718,0.04285714285714286,0.010771992818671455,0
угловая шлифмашина aeg ws 8-125 4935451402,556,510,36,2,15633,0.05935251798561151,0.05555555555555555,0.0035971223021582736,0
пильная цепь tf5836cse (3/8", 1.3 мм, 64 звена) gigant gtsl-01-54,554,458,1,1,543,0.0018050541516245488,1,0.0018050541516245488,0
мотокультиваторы (бензиновые культиваторы),553,509,41,3,68468,0.05063291139240506,0.07317073170731707,0.0054249547920434,0
ящик для инструмента,543,529,92,2,2040,0.09944751381215469,0.021739130434782608,0.003683241252302026,0
кернеры,543,521,109,7,1941,0.15837937384898712,0.06422018348623854,0.01289134438305709,0
кабель канал,542,529,107,5,3301,0.14206642066420663,0.04672897196261682,0.00922509225092251,0
хомуты пластиковые,540,525,72,3,798,0.09259259259259259,0.041666666666666664,0.005555555555555556,0
набор сверл,535,492,137,1,455,0.1308411214953271,0.0072992700729927005,0.001869158878504673,0
шаровые латунные краны,528,506,149,6,2296,0.14772727272727273,0.040268456375838924,0.011363636363636364,0
elitech,526,486,77,2,8760,0.06273764258555133,0.012987012987012988,0.0019011406844106464,0
механические степлеры,521,504,80,9,22133,0.1036468330134357,0.1125,0.01727447216890595,0
круг отрезной,515,454,157,1,147,0.13009708737864079,0.006369426751592357,0.001941747572815534,0
обратные клапаны,514,482,67,1,386,0.09727626459143969,0.014925373134328358,0.0019455252918287938,0
пескоструйные пневмопистолеты,514,485,51,3,2361,0.08171206225680934,0.058823529411764705,0.005836575875486381,0
огнетушитель,510,498,72,3,2398,0.10784313725490197,0.041666666666666664,0.0058823529411764705,0
пилки для электролобзиков,504,478,178,12,5459,0.16666666666666666,0.06741573033707865,0.023809523809523808,0
шпаклевки (шпатлевки),504,489,84,6,4198,0.13095238095238096,0.07142857142857142,0.011904761904761904,0
литол,498,479,67,8,2381,0.12248995983935743,0.11940298507462686,0.01606425702811245,0
круглогубцы, тонкогубцы и длинногубцы,495,483,108,2,1056,0.14343434343434344,0.018518518518518517,0.00404040404040404,0
нивелир,493,475,32,2,32504,0.05273833671399594,0.0625,0.004056795131845842,0
ушм 125,491,435,35,1,2452,0.05295315682281059,0.02857142857142857,0.002036659877800407,0
эмали по ржавчине,490,462,129,9,7149,0.16122448979591836,0.06976744186046512,0.018367346938775512,0
газ,484,431,77,3,9816,0.12190082644628099,0.03896103896103896,0.006198347107438017,0
ключи,483,449,219,3,958,0.14699792960662525,0.0136986301369863,0.006211180124223602,0
холодная сварка,480,450,59,6,1280,0.0875,0.1016949152542373,0.0125,0
капельный полив,480,462,110,7,5663,0.10833333333333334,0.03636363636363636,0.008333333333333333,0
масло минеральное premium 2-х тактное 1 л gigant g-0401 (россия),477,403,14,1,426,0.027253668763102725,0.07142857142857142,0.0020964360587002098,0
диск отрезной по металлу (230х2х22 мм) gigant cdi c41/230-2,474,449,27,1,375,0.04430379746835443,0.037037037037037035,0.002109704641350211,0
аккумуляторные мойки высокого давления,473,448,16,3,8605,0.02536997885835095,0.1875,0.006342494714587738,0
круги алмазные,471,462,46,3,5030,0.055201698513800426,0.06521739130434782,0.006369426751592357,0
колесо,471,445,33,2,2528,0.040339702760084924,0.06060606060606061,0.004246284501061571,0
насос дренажный,469,441,45,2,10940,0.06823027718550106,0.044444444444444446,0.0042643923240938165,0
скотч малярный,463,448,96,5,1040,0.16630669546436286,0.052083333333333336,0.01079913606911447,0
расходные материалы для шлифмашин,461,454,85,2,566,0.08026030368763558,0.023529411764705882,0.004338394793926247,0
полуавтомат,460,422,30,1,21062,0.03695652173913044,0.03333333333333333,0.002173913043478261,0
кабелерезы, кабельные ножницы,458,442,77,6,6352,0.10043668122270742,0.07792207792207792,0.013100436681222707,0
ниппели переходные,457,421,110,5,1574,0.1487964989059081,0.045454545454545456,0.010940919037199124,0
пароочистители,454,436,35,2,18861,0.05286343612334802,0.05714285714285714,0.004405286343612335,0
киянки,453,439,84,4,2651,0.1456953642384106,0.047619047619047616,0.008830022075055188,0
дело техники,452,431,169,2,1493,0.13716814159292035,0.011834319526627219,0.004424778761061947,0
воздуховоды для вентиляции,446,422,199,3,925,0.14349775784753363,0.010050251256281407,0.004484304932735426,0
дюбель,446,429,52,2,969,0.08744394618834081,0.038461538461538464,0.004484304932735426,0
вихрь,445,431,28,1,7490,0.024719101123595506,0.03571428571428571,0.0022471910112359553,0
угломер,443,428,9,1,209,0.01805869074492099,0.1111111111111111,0.002257336343115124,0
пены и автошампуни для бесконтактной мойки,441,423,102,13,81820,0.15873015873015872,0.12745098039215685,0.02947845804988662,0
рохля,441,419,34,2,50658,0.05895691609977324,0.058823529411764705,0.0045351473922902496,0
винт,440,420,37,3,583,0.045454545454545456,0.05405405405405406,0.004545454545454545,0
колун,440,418,31,2,2981,0.05909090909090909,0.06451612903225806,0.004545454545454545,0
строительное пластиковое ведро gigant 20 л bct 020,439,418,59,3,1155,0.1275626423690205,0.05084745762711865,0.00683371298405467,0
шкаф,438,427,1,1,2117,0.00228310502283105,1,0.00228310502283105,0
ранцевый распылитель patriot pt-12ac 755302530,435,397,22,2,7780,0.04597701149425287,0.09090909090909091,0.004597701149425287,0
шлифмашинка,431,405,44,1,2007,0.07424593967517401,0.022727272727272728,0.002320185614849188,0
кран буксы,427,400,49,5,1126,0.06088992974238876,0.061224489795918366,0.00702576112412178,0
станки и наждаки для заточки инструмента и ножей,426,409,51,3,9859,0.08215962441314555,0.058823529411764705,0.007042253521126761,0
спирт,425,389,76,5,1672,0.14823529411764705,0.06578947368421052,0.011764705882352941,0
сверло по дереву,425,392,77,3,2273,0.08705882352941176,0.03896103896103896,0.007058823529411765,0
цифровые уровни,424,416,21,1,1350,0.030660377358490566,0.047619047619047616,0.0023584905660377358,0
двухтактные триммеры,422,407,30,2,15020,0.04976303317535545,0.06666666666666667,0.004739336492890996,0
набор длинных имбусовых ключей 9 шт. gigant glhb 9,420,406,33,2,606,0.07142857142857142,0.06060606060606061,0.004761904761904762,0
стопорные кольца,419,403,40,1,2022,0.06205250596658711,0.025,0.002386634844868735,0
фильтры для очистки воды,418,413,54,1,996,0.06220095693779904,0.018518518518518517,0.0023923444976076554,0
профессиональный лазерный уровень lt l16-360a,418,412,15,1,6771,0.03349282296650718,0.06666666666666667,0.0023923444976076554,0
аккумуляторные дисковые пилы,414,398,60,1,9680,0.07971014492753623,0.016666666666666666,0.0024154589371980675,0
перчатки с пвх,414,410,47,3,1314,0.09420289855072464,0.0425531914893617,0.004830917874396135,0
канальные вентиляторы,412,390,60,2,2133,0.09951456310679611,0.03333333333333333,0.0048543689320388345,0
веерные грабли,412,393,104,4,2233,0.1383495145631068,0.038461538461538464,0.009708737864077669,0
правило,411,392,71,6,3637,0.1192214111922141,0.08450704225352113,0.014598540145985401,0
стамески по дереву,411,390,75,5,10033,0.11678832116788321,0.06666666666666667,0.012165450121654502,0
грунтовка,408,396,71,1,118,0.13725490196078433,0.014084507042253521,0.0024509803921568627,0
сифон,408,394,54,2,538,0.1053921568627451,0.037037037037037035,0.004901960784313725,0
электрические степлеры,402,387,20,2,6800,0.03731343283582089,0.1,0.004975124378109453,0
ремни стяжные грузовые,401,387,79,2,1881,0.11221945137157108,0.02531645569620253,0.004987531172069825,0
перчатки х/б с пвх покрытием  gigant 10 класс (1 пара) gl10,395,350,24,1,2600,0.060759493670886074,0.041666666666666664,0.002531645569620253,0
пружины,395,383,27,3,12106,0.05063291139240506,0.1111111111111111,0.007594936708860759,0
головки с креплением на квадрат с подпружиненным шариком,392,385,108,1,43,0.11224489795918367,0.009259259259259259,0.002551020408163265,0
дальномер,388,376,32,2,3581,0.07216494845360824,0.0625,0.005154639175257732,0
анкер с гайкой,388,380,55,1,48,0.10051546391752578,0.01818181818181818,0.002577319587628866,0
