Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
15703882;13;13;2;0;-;0.15384615384615385;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
редуктор для сварки;13;12;2;1;1123;0.15384615384615385;0.5;0.07692307692307693;19;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильный штекер прикуривателя rexant с кнопкой, 3а 16-0205;13;13;3;2;256;0.23076923076923078;0.6666666666666666;0.15384615384615385;63;;;;;;;;;;;;;;;;;;;;;;;;;;
складной совок и щетка мультипласт групп ленивка mpg960515;13;12;3;1;1492;0.23076923076923078;0.3333333333333333;0.07692307692307693;58;;;;;;;;;;;;;;;;;;;;;;;;;;
стальной трос в пвх оплетке металлсервис din 3055, 5/6, 100 м 1230963;13;11;2;0;-;0.15384615384615385;0;0;69;;;;;;;;;;;;;;;;;;;;;;;;;;
набор инструментов для автомобиля 141 предмет berger bg bg141-1214;13;12;3;0;-;0.23076923076923078;0;0;66;;;;;;;;;;;;;;;;;;;;;;;;;;
16329758;13;10;4;3;23296;0.23076923076923078;0.75;0.23076923076923078;8;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель 4*4;13;13;0;0;-;0;-;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессора;13;13;2;0;-;0.15384615384615385;0;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;
быстрый старт lavr 335 мл ln1546;13;13;2;0;-;0.15384615384615385;0;0;32;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель ввг-пнг а - ls камкабель 3x2.5 мм 100 м гост 1157к30hg00070а0100м;13;10;3;1;9604;0.23076923076923078;0.3333333333333333;0.07692307692307693;72;;;;;;;;;;;;;;;;;;;;;;;;;;
пассатижи сварщика;13;4;0;0;-;0;-;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
гофрированный шланг orio черный d-40мм шг40-2;13;13;2;2;3182;0.15384615384615385;1;0.15384615384615385;45;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумулятор one ;13;12;3;2;19640;0.15384615384615385;0.6666666666666666;0.15384615384615385;16;;;;;;;;;;;;;;;;;;;;;;;;;;
складная емкость для воды с крышкой чудо-бочка 500 л, высота 100 см 500к;13;13;2;0;-;0.15384615384615385;0;0;72;;;;;;;;;;;;;;;;;;;;;;;;;;
шланг дренажный (16 мм x 30 м) ballu;13;13;5;2;14210;0.3076923076923077;0.4;0.15384615384615385;36;;;;;;;;;;;;;;;;;;;;;;;;;;
набор бор-фрез металлических 5 шт. для дрели и прямой шлифмашины stayer 2991-h5;13;13;1;0;-;0.07692307692307693;0;0;79;;;;;;;;;;;;;;;;;;;;;;;;;;
air wick;13;13;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
k flex;13;13;7;0;-;0.23076923076923078;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
рулонный газон;13;11;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
хозяйственные резиновые перчатки aviora 402-702;13;13;1;1;522;0.07692307692307693;1;0.07692307692307693;47;;;;;;;;;;;;;;;;;;;;;;;;;;
grass azelit;13;13;5;5;15412;0.15384615384615385;0.4;0.15384615384615385;12;;;;;;;;;;;;;;;;;;;;;;;;;;
фрезерный станок энкор корвет-82 1/1/1/4 90820;13;12;2;0;-;0.15384615384615385;0;0;46;;;;;;;;;;;;;;;;;;;;;;;;;;
унитаз строительный;13;12;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
диск абразивный коралловый фиолетовый 125х22 мм gigant g-kor-03;13;13;0;0;-;0;-;0;63;;;;;;;;;;;;;;;;;;;;;;;;;;
направляющая шина зубр;13;11;2;0;-;0.15384615384615385;0;0;22;;;;;;;;;;;;;;;;;;;;;;;;;;
15511540;13;12;10;4;2114;0.5384615384615384;0.4;0.3076923076923077;8;;;;;;;;;;;;;;;;;;;;;;;;;;
песок для фильтра;13;12;0;0;-;0;-;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
антифриз sintec euro g11 (-40) 10 кг, зеленый 990571;13;13;5;4;35394;0.38461538461538464;0.8;0.3076923076923077;52;;;;;;;;;;;;;;;;;;;;;;;;;;
набор гидравлических растяжек kraftwell 4 т krwph4;13;13;0;0;-;0;-;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;
скотч-лок dori изолированный к1 25 шт 2640;13;13;3;0;-;0.15384615384615385;0;0;42;;;;;;;;;;;;;;;;;;;;;;;;;;
посадочные вилки садовые;13;13;0;0;-;0;-;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;
сварочное стекло;13;12;1;1;20000;0.07692307692307693;1;0.07692307692307693;16;;;;;;;;;;;;;;;;;;;;;;;;;;
мешок для стружкоотсоса;13;12;6;0;-;0.23076923076923078;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
ведро-туалет полимербыт 16 л 4320500;13;13;4;2;1069;0.3076923076923077;0.5;0.15384615384615385;36;;;;;;;;;;;;;;;;;;;;;;;;;;
диск алмазный по металлу;13;12;1;1;991;0.07692307692307693;1;0.07692307692307693;24;;;;;;;;;;;;;;;;;;;;;;;;;;
безмасляный поршневой компрессор quattro elementi pacific 100-720 720 л/мин, 100 л, 5.5 л.с, 8 бар 915-380;13;12;1;1;42921;0.07692307692307693;1;0.07692307692307693;106;;;;;;;;;;;;;;;;;;;;;;;;;;
переставные клещи 250 мм обливные рукоятки вихрь 73/6/3/4;13;12;1;1;6075;0.07692307692307693;1;0.07692307692307693;57;;;;;;;;;;;;;;;;;;;;;;;;;;
микроша 2000;13;13;0;0;-;0;-;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
сьемник хомутов;13;13;3;3;6161;0.23076923076923078;1;0.23076923076923078;15;;;;;;;;;;;;;;;;;;;;;;;;;;
набор г-образных шестигранников удлиненных (10 шт;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;
сварочный инвертор сварог arc 200 real smart z28303 black маска+краги 97886;13;13;4;3;102511;0.3076923076923077;0.75;0.23076923076923078;75;;;;;;;;;;;;;;;;;;;;;;;;;;
16669196;13;13;2;2;9303;0.15384615384615385;1;0.15384615384615385;8;;;;;;;;;;;;;;;;;;;;;;;;;;
бур по бетону (6х110 мм;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;
штыковая лопата berhau рельсовая сталь, 275x210 мм, с ребрами жесткости, деревянный черенок 100954;13;13;7;4;14286;0.5384615384615384;0.5714285714285714;0.3076923076923077;98;;;;;;;;;;;;;;;;;;;;;;;;;;
сапог;13;13;1;0;-;0.07692307692307693;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
снеговая лопата inforce аспен 06-12-13;13;13;2;2;5885;0.15384615384615385;1;0.15384615384615385;38;;;;;;;;;;;;;;;;;;;;;;;;;;
ds18b20;13;10;1;1;222;0.07692307692307693;1;0.07692307692307693;7;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор парма;13;12;1;1;39132;0.07692307692307693;1;0.07692307692307693;16;;;;;;;;;;;;;;;;;;;;;;;;;;
лопата штыковая fiskars;13;13;3;2;5132;0.23076923076923078;0.6666666666666666;0.15384615384615385;23;;;;;;;;;;;;;;;;;;;;;;;;;;
гидравлическая тележка gigant 800x550 мм полиуретановые колеса jhpt2500-800-po;13;12;1;0;-;0.07692307692307693;0;0;78;;;;;;;;;;;;;;;;;;;;;;;;;;
микрометр 50-75мм*0.01мм inforce 06-11-43;13;13;3;1;3667;0.23076923076923078;0.3333333333333333;0.07692307692307693;41;;;;;;;;;;;;;;;;;;;;;;;;;;
тромбовка;13;13;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
27938228;13;10;2;1;33999;0.15384615384615385;0.5;0.07692307692307693;8;;;;;;;;;;;;;;;;;;;;;;;;;;
замки для межкомнатных дверей;13;11;1;0;-;0.07692307692307693;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновая газонокосилка caiman ferro 47cv;13;3;0;0;-;0;-;0;42;;;;;;;;;;;;;;;;;;;;;;;;;;
диск карбид вольфрамовый отрезной super wood 76х10 мм hilberg 530076;13;13;10;1;1136;0.23076923076923078;0.1;0.07692307692307693;68;;;;;;;;;;;;;;;;;;;;;;;;;;
сорбент ас;13;13;2;1;1430;0.15384615384615385;0.5;0.07692307692307693;10;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессорная голова;13;11;0;0;-;0;-;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
16311637;13;12;4;3;7071;0.3076923076923077;0.75;0.23076923076923078;8;;;;;;;;;;;;;;;;;;;;;;;;;;
электрод 4;13;5;1;0;-;0.07692307692307693;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
цилиндровый механизм нора-м есо z лп-80 40-40 хром х 15531;13;13;4;4;11948;0.3076923076923077;1;0.3076923076923077;58;;;;;;;;;;;;;;;;;;;;;;;;;;
16456845;13;10;2;1;10080;0.15384615384615385;0.5;0.07692307692307693;8;;;;;;;;;;;;;;;;;;;;;;;;;;
недорогие аккумуляторы для шуруповертов;13;13;1;0;-;0.07692307692307693;0;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;
weisan;13;13;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
четырехветвевые стропы 4ст;13;13;3;2;64952;0.23076923076923078;0.6666666666666666;0.15384615384615385;26;;;;;;;;;;;;;;;;;;;;;;;;;;
садовая пила fiskars xtract sw 73 1000613 (123870);13;11;4;5;12745;0.23076923076923078;1;0.3076923076923077;50;;;;;;;;;;;;;;;;;;;;;;;;;;
складной табурет green glade рс230;13;13;1;0;-;0.07692307692307693;0;0;34;;;;;;;;;;;;;;;;;;;;;;;;;;
16435886;13;12;4;3;3795;0.3076923076923077;0.75;0.23076923076923078;8;;;;;;;;;;;;;;;;;;;;;;;;;;
большегрузное полиуретановое колесо поворотное с площадкой и тормозом scpb 42 (100 мм;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;
термостойкая краска для металла, печей, мангалов, радиаторов, дымоходов, суппортов certa до 400с белый ral 9003, аэрозоль cst00060;13;12;2;2;635;0.15384615384615385;1;0.15384615384615385;130;;;;;;;;;;;;;;;;;;;;;;;;;;
навесной бокс эра simple щрн-п-4 модуля, пластик ip41 б0041521;13;13;6;5;3556;0.46153846153846156;0.8333333333333334;0.38461538461538464;62;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновая газонокосилка patriot pt 46 512109005;13;13;0;0;-;0;-;0;48;;;;;;;;;;;;;;;;;;;;;;;;;;
телескопический секатор;13;13;2;0;-;0.07692307692307693;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
6201z;13;12;4;2;1292;0.23076923076923078;0.5;0.15384615384615385;5;;;;;;;;;;;;;;;;;;;;;;;;;;
термошайба крепче коричневая, ral 8017, d30, 50 шт. 2947515;13;13;1;1;271;0.07692307692307693;1;0.07692307692307693;59;;;;;;;;;;;;;;;;;;;;;;;;;;
набор бит tx impact с держателем бит impact в кейсе, 10 шт. felo 02080246;13;13;0;0;-;0;-;0;73;;;;;;;;;;;;;;;;;;;;;;;;;;
23075661;13;13;5;4;1494;0.38461538461538464;0.8;0.3076923076923077;8;;;;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка бензиновая huter glm-4.0 70/3/1;13;13;0;0;-;0;-;0;45;;;;;;;;;;;;;;;;;;;;;;;;;;
водный раствор мочевины reinwell 32,5% adblue 20 л 8835rw;13;13;3;2;4091;0.23076923076923078;0.6666666666666666;0.15384615384615385;57;;;;;;;;;;;;;;;;;;;;;;;;;;
25979459;13;12;1;1;14566;0.07692307692307693;1;0.07692307692307693;8;;;;;;;;;;;;;;;;;;;;;;;;;;
мойка высокого давления elitech hpw 3000i 204593;13;13;2;0;-;0.15384615384615385;0;0;48;;;;;;;;;;;;;;;;;;;;;;;;;;
механический удлиненный гайковерт 32х33 белак бак.00018;13;11;3;3;165057;0.23076923076923078;1;0.23076923076923078;55;;;;;;;;;;;;;;;;;;;;;;;;;;
балон для углекислоты;13;9;4;0;-;0.07692307692307693;0;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
алюминиевая клейкая лента x-glass 75x50 160375;13;12;3;2;5852;0.23076923076923078;0.6666666666666666;0.15384615384615385;46;;;;;;;;;;;;;;;;;;;;;;;;;;
принтер цветной;13;11;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
диск для бетона;13;13;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
свободностоящая стремянка с семью ступеньками krause monto solidy 126252;13;13;1;0;-;0.07692307692307693;0;0;72;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель ввг-пнг(а)-ls дмитров-кабель 3x2,5 бухта 100 метров 000001042;13;13;2;0;-;0.15384615384615385;0;0;68;;;;;;;;;;;;;;;;;;;;;;;;;;
битумная алюминиевая лента для кровли irfix 100мм х 10м irbant rst 31001;13;13;6;3;31744;0.3076923076923077;0.5;0.23076923076923078;72;;;;;;;;;;;;;;;;;;;;;;;;;;
"мини-патрон для дрели хвостовик 1/4"", зажим 0.3 - 6.5 мм тундра 7069411";13;13;1;2;954;0.07692307692307693;2;0.15384615384615385;71;;;;;;;;;;;;;;;;;;;;;;;;;;
korvus;13;13;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
комбинированная муфта политэк с наружной резьбой 40 1 20414;13;13;2;1;592;0.15384615384615385;0.5;0.07692307692307693;59;;;;;;;;;;;;;;;;;;;;;;;;;;
клей холодная сварка;13;13;6;2;1778;0.46153846153846156;0.3333333333333333;0.15384615384615385;20;;;;;;;;;;;;;;;;;;;;;;;;;;
16026220;13;11;1;1;2700;0.07692307692307693;1;0.07692307692307693;8;;;;;;;;;;;;;;;;;;;;;;;;;;
набор шлифзерна карбида кремния tsprof 4 вида ts-sh1700350;13;11;6;3;2697;0.38461538461538464;0.5;0.23076923076923078;58;;;;;;;;;;;;;;;;;;;;;;;;;;
лента шлифовальная (5 шт;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;
pag100;13;12;2;1;4803;0.15384615384615385;0.5;0.07692307692307693;6;;;;;;;;;;;;;;;;;;;;;;;;;;
щетка-ершик для мытья airline 27 см, с жёсткой щетиной ab-i-01;13;13;2;1;195;0.15384615384615385;0.5;0.07692307692307693;62;;;;;;;;;;;;;;;;;;;;;;;;;;
краска эмаль белая;13;12;7;1;440;0.23076923076923078;0.14285714285714285;0.07692307692307693;18;;;;;;;;;;;;;;;;;;;;;;;;;;
лезвия сегментированные (10 шт;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
19475148;13;10;3;2;3085;0.23076923076923078;0.6666666666666666;0.15384615384615385;8;;;;;;;;;;;;;;;;;;;;;;;;;;
25869485;13;9;4;0;-;0.23076923076923078;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
валик сибртех из натурального меха с ручкой, 150 мм, ворс 12 мм, d - 48 мм 80122;13;13;5;3;3373;0.38461538461538464;0.6;0.23076923076923078;80;;;;;;;;;;;;;;;;;;;;;;;;;;
буравчик;13;11;2;0;-;0.15384615384615385;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
набор перьевых сверл по дереву 12 шт ingco akdl1201;13;13;1;0;-;0.07692307692307693;0;0;51;;;;;;;;;;;;;;;;;;;;;;;;;;
головка 13 1/2;13;13;9;3;414;0.5384615384615384;0.3333333333333333;0.23076923076923078;14;;;;;;;;;;;;;;;;;;;;;;;;;;
насосная станция gigant gp-12;13;13;1;0;-;0.07692307692307693;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
овальный штангодержатель brante 30х15 мм 106303;13;13;4;4;432;0.3076923076923077;1;0.3076923076923077;47;;;;;;;;;;;;;;;;;;;;;;;;;;
держатель для шлифовальной сетки orientcraft 120x230 sba125230000;13;13;2;0;-;0.15384615384615385;0;0;65;;;;;;;;;;;;;;;;;;;;;;;;;;
кофемашины;13;11;0;0;-;0;-;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
 пф-115;13;13;1;0;-;0.07692307692307693;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
семена газонной травы сила суздаля универсальная 1 кг 4680004060864;13;12;1;1;2230;0.07692307692307693;1;0.07692307692307693;67;;;;;;;;;;;;;;;;;;;;;;;;;;
строп канатный;13;13;1;1;5000;0.07692307692307693;1;0.07692307692307693;14;;;;;;;;;;;;;;;;;;;;;;;;;;
антисептик спрей септизолин 10 л zlk04926;13;13;2;2;5230;0.07692307692307693;0.5;0.07692307692307693;41;;;;;;;;;;;;;;;;;;;;;;;;;;
измеритель кислотности почвы;13;13;1;0;-;0.07692307692307693;0;0;28;;;;;;;;;;;;;;;;;;;;;;;;;;
садовые тележки;13;13;3;0;-;0.07692307692307693;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
зажим для кабеля;13;13;7;0;-;0.38461538461538464;0;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
сменные картриджи и кассеты для предфильтров и насадок;13;12;0;0;-;0;-;0;54;;;;;;;;;;;;;;;;;;;;;;;;;;
26717652;13;12;2;2;1111;0.15384615384615385;1;0.15384615384615385;8;;;;;;;;;;;;;;;;;;;;;;;;;;
экран практик ws-140 без косынок s30299031607;13;13;1;1;2516;0.07692307692307693;1;0.07692307692307693;45;;;;;;;;;;;;;;;;;;;;;;;;;;
сгон американка;13;12;1;0;-;0.07692307692307693;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
"керамическая кран-букса профсан псм 1/2"" квадрат 7х7 psm-1291-77";13;11;3;1;308;0.23076923076923078;0.3333333333333333;0.07692307692307693;64;;;;;;;;;;;;;;;;;;;;;;;;;;
инструмент в ложементе;13;13;3;0;-;0.07692307692307693;0;0;22;;;;;;;;;;;;;;;;;;;;;;;;;;
15702971;13;12;6;4;6013;0.46153846153846156;0.6666666666666666;0.3076923076923077;8;;;;;;;;;;;;;;;;;;;;;;;;;;
насос gardena;13;12;1;1;4424;0.07692307692307693;1;0.07692307692307693;13;;;;;;;;;;;;;;;;;;;;;;;;;;
тройник соединительный латунный 12х12х12 мм lexline 517746;13;13;7;6;3418;0.5384615384615384;0.8571428571428571;0.46153846153846156;58;;;;;;;;;;;;;;;;;;;;;;;;;;
farton;13;12;9;3;22556;0.38461538461538464;0.3333333333333333;0.23076923076923078;6;;;;;;;;;;;;;;;;;;;;;;;;;;
измельчитель для мотоблока;13;13;0;0;-;0;-;0;26;;;;;;;;;;;;;;;;;;;;;;;;;;
труба pp-fiber армированная стекловолокном, pn 25, 32мм, белый valtec vtp.700.fb25.32;13;13;4;0;-;0.23076923076923078;0;0;85;;;;;;;;;;;;;;;;;;;;;;;;;;
лепестковые круги;13;13;0;0;-;0;-;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
клупп 1/2;13;13;6;1;611;0.46153846153846156;0.16666666666666666;0.07692307692307693;9;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторный стреппинг инструмент для пп и пэт ленты алга пак ап jdc 13/16;13;12;4;2;265840;0.3076923076923077;0.5;0.15384615384615385;76;;;;;;;;;;;;;;;;;;;;;;;;;;
хдф;13;13;0;0;-;0;-;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;
изоляционная лента зубр профессионал вулкан самовулканизирующаяся 19 мм х 5 м 1238-2;13;12;1;0;-;0.07692307692307693;0;0;84;;;;;;;;;;;;;;;;;;;;;;;;;;
16725946;13;13;5;3;4534;0.3076923076923077;0.6;0.23076923076923078;8;;;;;;;;;;;;;;;;;;;;;;;;;;
лом-гвоздодер (усиленный, 900х29х15 мм) кобальт 249-556;13;13;3;2;2163;0.23076923076923078;0.6666666666666666;0.15384615384615385;55;;;;;;;;;;;;;;;;;;;;;;;;;;
электрический скарификатор patriot sce 180, 1800 вт 512309180;13;13;3;1;15590;0.23076923076923078;0.3333333333333333;0.07692307692307693;61;;;;;;;;;;;;;;;;;;;;;;;;;;
рожковый ключ gigant 13x14 мм gdw1314;13;13;8;4;1801;0.5384615384615384;0.5;0.3076923076923077;37;;;;;;;;;;;;;;;;;;;;;;;;;;
набор для выпрессовки и запрессовки сайлентблоков wiederkraft 26 предметов wdk-214220;13;13;0;0;-;0;-;0;85;;;;;;;;;;;;;;;;;;;;;;;;;;
металлический столярный угольник 400 мм fit профи 19440;13;13;7;6;9746;0.46153846153846156;0.7142857142857143;0.38461538461538464;55;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло по дереву 10мм;13;9;4;2;258;0.3076923076923077;0.5;0.15384615384615385;21;;;;;;;;;;;;;;;;;;;;;;;;;;
магнитная насадка для бит 10 шт wurz 3388;13;13;0;0;-;0;-;0;41;;;;;;;;;;;;;;;;;;;;;;;;;;
антикоррозионный грунт по металлу jobi ral 7040520 мл 32272;13;13;4;2;3826;0.3076923076923077;0.5;0.15384615384615385;59;;;;;;;;;;;;;;;;;;;;;;;;;;
16016188;13;12;1;1;25724;0.07692307692307693;1;0.07692307692307693;8;;;;;;;;;;;;;;;;;;;;;;;;;;
отрезной круг stayer по дереву пластику из нержавеющей стали с оправкой 3 шт. 29912-h3;12;12;2;1;345;0.16666666666666666;0.5;0.08333333333333333;86;;;;;;;;;;;;;;;;;;;;;;;;;;
lb ceramics;12;12;0;0;-;0;-;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;
крыльчатки для лодочных моторов;12;12;2;1;1575;0.08333333333333333;0.5;0.08333333333333333;31;;;;;;;;;;;;;;;;;;;;;;;;;;
dowsil;12;12;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
щетка-ерш;12;12;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ комбинированный 8;12;12;7;2;386;0.5833333333333334;0.2857142857142857;0.16666666666666666;22;;;;;;;;;;;;;;;;;;;;;;;;;;
плитка-мозаика;12;11;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
стальная стремянка 7 ступеней сибртех 97847;12;12;4;3;10520;0.3333333333333333;0.75;0.25;43;;;;;;;;;;;;;;;;;;;;;;;;;;
двухсторонняя стальная стремянка алюмет md m8205;12;12;4;4;11136;0.3333333333333333;1;0.3333333333333333;48;;;;;;;;;;;;;;;;;;;;;;;;;;
б0054375;12;1;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
углозащитный пластиковый профиль схт 25х25 мм, 3 м сх0027;12;12;3;2;648;0.25;0.6666666666666666;0.16666666666666666;57;;;;;;;;;;;;;;;;;;;;;;;;;;
кровельная бита;12;11;5;1;289;0.25;0.2;0.08333333333333333;15;;;;;;;;;;;;;;;;;;;;;;;;;;
15886096;12;11;6;4;5142;0.4166666666666667;0.6666666666666666;0.3333333333333333;8;;;;;;;;;;;;;;;;;;;;;;;;;;
грелки электрические;12;12;3;3;6715;0.16666666666666666;0.6666666666666666;0.16666666666666666;20;;;;;;;;;;;;;;;;;;;;;;;;;;
блокнот а6;12;11;3;1;236;0.25;0.3333333333333333;0.08333333333333333;10;;;;;;;;;;;;;;;;;;;;;;;;;;
уровень 1000мм;12;12;4;2;10214;0.25;0.5;0.16666666666666666;14;;;;;;;;;;;;;;;;;;;;;;;;;;
скамья уличная;12;12;1;0;-;0.08333333333333333;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
тиски сибртех слесарные, 150 мм, стальные, поворотные 18620;12;12;3;1;4098;0.25;0.3333333333333333;0.08333333333333333;59;;;;;;;;;;;;;;;;;;;;;;;;;;
20771565;12;12;3;3;10410;0.25;1;0.25;8;;;;;;;;;;;;;;;;;;;;;;;;;;
15872269;12;12;9;4;1436;0.6666666666666666;0.4444444444444444;0.3333333333333333;8;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло вк8;12;11;3;1;5810;0.16666666666666666;0.3333333333333333;0.08333333333333333;10;;;;;;;;;;;;;;;;;;;;;;;;;;
iec c7;12;12;2;2;385;0.16666666666666666;1;0.16666666666666666;6;;;;;;;;;;;;;;;;;;;;;;;;;;
лампы накаливания e27;12;12;6;4;757;0.4166666666666667;0.6666666666666666;0.3333333333333333;21;;;;;;;;;;;;;;;;;;;;;;;;;;
npf10;12;12;1;1;1870;0.08333333333333333;1;0.08333333333333333;5;;;;;;;;;;;;;;;;;;;;;;;;;;
ножницы для живой изгороди patriot ch 590 777006590;12;11;1;0;-;0.08333333333333333;0;0;51;;;;;;;;;;;;;;;;;;;;;;;;;;
мешок для строительного мусора тканый полипропиленовый (90х50 см) рос 11903;12;12;2;1;290;0.16666666666666666;0.5;0.08333333333333333;75;;;;;;;;;;;;;;;;;;;;;;;;;;
силиконовый универсальный герметик момент белый 280 мл 2048977;12;12;3;0;-;0.16666666666666666;0;0;62;;;;;;;;;;;;;;;;;;;;;;;;;;
шестигранник 2,5;12;11;4;2;110;0.3333333333333333;0.5;0.16666666666666666;16;;;;;;;;;;;;;;;;;;;;;;;;;;
регулировочные шайбы;12;9;2;0;-;0.08333333333333333;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
набор изолированного инструмента;12;12;0;0;-;0;-;0;32;;;;;;;;;;;;;;;;;;;;;;;;;;
клей d3;12;11;2;2;1503;0.16666666666666666;1;0.16666666666666666;7;;;;;;;;;;;;;;;;;;;;;;;;;;
ресанта сварочный аппарат инверторный саи 220 65/3;12;12;0;0;-;0;-;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;
набор съемников стопорных колец king tony 6 предметов 42116gp;12;12;3;2;98493;0.25;0.6666666666666666;0.16666666666666666;61;;;;;;;;;;;;;;;;;;;;;;;;;;
монтажная;12;12;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
краска по дереву коричневая;12;11;5;0;-;0.25;0;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;
слесарные тиски matrix 200 мм, поворотные, с наковальней 18603;12;11;2;1;7613;0.16666666666666666;0.5;0.08333333333333333;62;;;;;;;;;;;;;;;;;;;;;;;;;;
коробки и корпусы редукторов, двигателей, моторов для шуруповертов;12;12;0;0;-;0;-;0;66;;;;;;;;;;;;;;;;;;;;;;;;;;
пилка для лобзика по цсп и шиферу тип t341hm (132х110 мм) практика 244-360;12;11;5;5;6345;0.4166666666666667;1;0.4166666666666667;74;;;;;;;;;;;;;;;;;;;;;;;;;;
датчики для терморегуляторов;12;12;0;0;-;0;-;0;28;;;;;;;;;;;;;;;;;;;;;;;;;;
робот - мойщик окон даджет r100 9703;12;12;2;2;15729;0.16666666666666666;1;0.16666666666666666;36;;;;;;;;;;;;;;;;;;;;;;;;;;
индукционный нагреватель подшипников;12;11;0;0;-;0;-;0;36;;;;;;;;;;;;;;;;;;;;;;;;;;
насос погружной для грязной воды;12;6;1;1;2844;0.08333333333333333;1;0.08333333333333333;32;;;;;;;;;;;;;;;;;;;;;;;;;;
прямоугольный мусорный контейнер gigant 1100 л ipg-04;12;12;0;0;-;0;-;0;53;;;;;;;;;;;;;;;;;;;;;;;;;;
eurotec;12;12;1;2;4434;0.08333333333333333;2;0.16666666666666666;7;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ к-80;12;11;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
15455399;12;11;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
fiskars upx 86;12;3;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
