Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
наборы шестигранных ключей;1306;1257;692;196;365469;0.34762633996937214;0.2745664739884393;0.14548238897396631;26;;;;;;;;;;;;;;;;;;;;;;;;;;
круги для эксцентриковых шлифмашин;1285;1229;1231;245;327867;0.3665369649805447;0.190089358245329;0.1821011673151751;34;;;;;;;;;;;;;;;;;;;;;;;;;;
миксер;1272;1210;376;99;893868;0.20047169811320756;0.23670212765957446;0.0699685534591195;6;;;;;;;;;;;;;;;;;;;;;;;;;;
вышки туры;1264;1204;176;31;1487741;0.10522151898734178;0.17045454545454544;0.023734177215189875;10;;;;;;;;;;;;;;;;;;;;;;;;;;
дюбель-гвозди;1263;1197;591;226;300418;0.3412509897070467;0.37055837563451777;0.17339667458432304;13;;;;;;;;;;;;;;;;;;;;;;;;;;
кусторезы;1262;1180;288;58;483138;0.1386687797147385;0.18055555555555555;0.04120443740095087;9;;;;;;;;;;;;;;;;;;;;;;;;;;
рабочая обувь (спецобувь);1261;1212;111;15;68768;0.04916732751784298;0.13513513513513514;0.011895321173671689;25;;;;;;;;;;;;;;;;;;;;;;;;;;
дверные доводчики;1257;1187;581;196;883737;0.3444709626093874;0.31669535283993117;0.14638027048528243;17;;;;;;;;;;;;;;;;;;;;;;;;;;
метчик;1242;1151;616;158;329045;0.25925925925925924;0.237012987012987;0.11755233494363929;6;;;;;;;;;;;;;;;;;;;;;;;;;;
полиэтиленовая пленка;1242;1176;413;136;774849;0.250402576489533;0.3099273607748184;0.10305958132045089;21;;;;;;;;;;;;;;;;;;;;;;;;;;
гравер;1240;1172;148;49;174511;0.10161290322580645;0.3108108108108108;0.037096774193548385;6;;;;;;;;;;;;;;;;;;;;;;;;;;
шпилька;1239;1177;634;148;493191;0.28732849071832123;0.2113564668769716;0.10815173527037934;7;;;;;;;;;;;;;;;;;;;;;;;;;;
офисные и компьютерные кресла;1238;1163;462;84;1380022;0.21082390953150243;0.1774891774891775;0.06623586429725363;29;;;;;;;;;;;;;;;;;;;;;;;;;;
обтирочная ветошь х/б и ткань;1231;1175;591;265;1319812;0.3818034118602762;0.41624365482233505;0.19983753046303818;29;;;;;;;;;;;;;;;;;;;;;;;;;;
утеплители (теплоизоляция);1224;1174;114;14;732025;0.05718954248366013;0.11403508771929824;0.010620915032679739;26;;;;;;;;;;;;;;;;;;;;;;;;;;
крепеж;1221;1175;745;133;210081;0.20884520884520885;0.15838926174496645;0.09664209664209664;6;;;;;;;;;;;;;;;;;;;;;;;;;;
stihl;1219;1177;104;27;111087;0.044298605414273995;0.2403846153846154;0.020508613617719443;5;;;;;;;;;;;;;;;;;;;;;;;;;;
светильник;1209;1162;559;118;592465;0.2630272952853598;0.18783542039355994;0.08684863523573201;10;;;;;;;;;;;;;;;;;;;;;;;;;;
масла для двигателей;1193;1117;323;136;263637;0.19111483654652137;0.39009287925696595;0.10561609388097234;20;;;;;;;;;;;;;;;;;;;;;;;;;;
gross;1190;1099;737;74;337051;0.20168067226890757;0.09226594301221167;0.05714285714285714;5;;;;;;;;;;;;;;;;;;;;;;;;;;
двусторонние монтажные ленты;1145;1109;663;252;234852;0.40262008733624455;0.3559577677224736;0.20611353711790392;28;;;;;;;;;;;;;;;;;;;;;;;;;;
садовые ручные опрыскиватели и пульверизаторы;1144;1113;557;180;188228;0.354020979020979;0.3087971274685817;0.15034965034965034;45;;;;;;;;;;;;;;;;;;;;;;;;;;
сантехнический герметик и средства герметичности;1122;1086;64;33;28357;0.044563279857397504;0.5;0.0285204991087344;48;;;;;;;;;;;;;;;;;;;;;;;;;;
эмали по ржавчине;1118;1065;550;182;719037;0.334525939177102;0.3181818181818182;0.15652951699463327;17;;;;;;;;;;;;;;;;;;;;;;;;;;
степлер;1116;1055;246;83;122898;0.15770609318996415;0.32113821138211385;0.07078853046594982;7;;;;;;;;;;;;;;;;;;;;;;;;;;
трос;1109;1027;246;81;657728;0.16681695220919748;0.3252032520325203;0.0721370604147881;4;;;;;;;;;;;;;;;;;;;;;;;;;;
нивелиры;1095;1008;216;43;701862;0.13333333333333333;0.19907407407407407;0.039269406392694065;8;;;;;;;;;;;;;;;;;;;;;;;;;;
велосипеды;1088;1002;84;15;477123;0.04503676470588235;0.17857142857142858;0.013786764705882353;10;;;;;;;;;;;;;;;;;;;;;;;;;;
ручные труборезы и ножницы для труб;1086;1039;429;151;256676;0.2965009208103131;0.337995337995338;0.13351749539594843;35;;;;;;;;;;;;;;;;;;;;;;;;;;
ниппели переходные;1077;999;625;190;97240;0.39275766016713093;0.2848;0.16527390900649955;18;;;;;;;;;;;;;;;;;;;;;;;;;;
кернеры;1066;1030;529;168;111663;0.3677298311444653;0.30245746691871456;0.150093808630394;7;;;;;;;;;;;;;;;;;;;;;;;;;;
плиткорезы;1064;998;165;22;271893;0.09492481203007519;0.13333333333333333;0.020676691729323307;10;;;;;;;;;;;;;;;;;;;;;;;;;;
съемники подшипников;1059;1012;327;75;217378;0.20113314447592068;0.21712538226299694;0.06704438149197356;20;;;;;;;;;;;;;;;;;;;;;;;;;;
бумага;1054;964;310;132;349328;0.22011385199240988;0.38064516129032255;0.11195445920303605;6;;;;;;;;;;;;;;;;;;;;;;;;;;
фреза;1050;1011;248;69;97390;0.15142857142857144;0.25;0.05904761904761905;5;;;;;;;;;;;;;;;;;;;;;;;;;;
ручные ножницы по металлу;1049;1000;446;144;280905;0.3117254528122021;0.3071748878923767;0.1306005719733079;25;;;;;;;;;;;;;;;;;;;;;;;;;;
сверлильный станок;1046;980;184;36;925442;0.12715105162523901;0.18478260869565216;0.032504780114722756;18;;;;;;;;;;;;;;;;;;;;;;;;;;
аэраторы;1043;967;181;60;1043596;0.12847555129434324;0.3149171270718232;0.05465004793863854;8;;;;;;;;;;;;;;;;;;;;;;;;;;
раковины;1036;969;257;44;446859;0.15154440154440155;0.17120622568093385;0.04247104247104247;8;;;;;;;;;;;;;;;;;;;;;;;;;;
масло;1027;919;187;48;66472;0.10808179162609542;0.25133689839572193;0.045764362220058426;5;;;;;;;;;;;;;;;;;;;;;;;;;;
литол;1027;987;471;235;378796;0.40019474196689386;0.4713375796178344;0.21616358325219084;5;;;;;;;;;;;;;;;;;;;;;;;;;;
дренажный насос;1021;972;255;91;548109;0.19000979431929482;0.34509803921568627;0.08619000979431929;15;;;;;;;;;;;;;;;;;;;;;;;;;;
коронка;1012;929;180;50;56470;0.10770750988142293;0.25555555555555554;0.045454545454545456;7;;;;;;;;;;;;;;;;;;;;;;;;;;
пилки для электролобзиков;1006;965;662;221;197613;0.37475149105367794;0.3187311178247734;0.20974155069582506;25;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумулятор;1005;913;32;10;41196;0.025870646766169153;0.3125;0.009950248756218905;11;;;;;;;;;;;;;;;;;;;;;;;;;;
краги;1005;963;487;165;355801;0.35323383084577115;0.3059548254620123;0.1482587064676617;5;;;;;;;;;;;;;;;;;;;;;;;;;;
кондиционер;1004;955;156;34;2326354;0.10258964143426295;0.20512820512820512;0.03187250996015936;11;;;;;;;;;;;;;;;;;;;;;;;;;;
набор инструмента;999;967;148;5;36124;0.07207207207207207;0.033783783783783786;0.005005005005005005;17;;;;;;;;;;;;;;;;;;;;;;;;;;
кондиционеры и сплит-системы;996;960;130;24;1305985;0.0963855421686747;0.16923076923076924;0.02208835341365462;28;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторные гайковерты;992;939;317;29;510616;0.1310483870967742;0.08517350157728706;0.02721774193548387;25;;;;;;;;;;;;;;;;;;;;;;;;;;
каски защитные строительные;985;939;553;211;560134;0.40609137055837563;0.352622061482821;0.19796954314720813;27;;;;;;;;;;;;;;;;;;;;;;;;;;
воздуходувка;982;937;162;36;369225;0.12321792260692464;0.21604938271604937;0.035641547861507125;12;;;;;;;;;;;;;;;;;;;;;;;;;;
стяжные хомуты;978;959;232;85;78541;0.14519427402862986;0.33620689655172414;0.07975460122699386;14;;;;;;;;;;;;;;;;;;;;;;;;;;
фуговальные станки;978;847;90;11;612556;0.06850715746421268;0.12222222222222222;0.011247443762781187;18;;;;;;;;;;;;;;;;;;;;;;;;;;
вентилятор;978;948;170;54;311492;0.13701431492842536;0.3058823529411765;0.053169734151329244;10;;;;;;;;;;;;;;;;;;;;;;;;;;
grass;977;936;824;138;161128;0.345957011258956;0.1553398058252427;0.13101330603889458;5;;;;;;;;;;;;;;;;;;;;;;;;;;
лопата совковая;967;907;467;162;1085015;0.3940020682523268;0.32762312633832974;0.15822130299896586;15;;;;;;;;;;;;;;;;;;;;;;;;;;
замок;959;940;346;108;169462;0.25443169968717416;0.2861271676300578;0.1032325338894682;5;;;;;;;;;;;;;;;;;;;;;;;;;;
вилка;957;908;413;163;63782;0.329153605015674;0.37772397094430993;0.16300940438871472;5;;;;;;;;;;;;;;;;;;;;;;;;;;
контейнер;954;855;176;42;72462;0.11215932914046121;0.21022727272727273;0.03878406708595388;9;;;;;;;;;;;;;;;;;;;;;;;;;;
струбцины;920;897;358;59;333660;0.21521739130434783;0.15921787709497207;0.06195652173913044;9;;;;;;;;;;;;;;;;;;;;;;;;;;
расходные материалы для шуруповертов и гайковертов;908;896;62;14;50079;0.03634361233480176;0.1935483870967742;0.013215859030837005;50;;;;;;;;;;;;;;;;;;;;;;;;;;
метчикодержатели;907;880;494;141;243798;0.3649393605292172;0.2813765182186235;0.15325248070562295;16;;;;;;;;;;;;;;;;;;;;;;;;;;
строительный пылесос;891;854;213;49;494643;0.15937149270482603;0.2300469483568075;0.05499438832772166;20;;;;;;;;;;;;;;;;;;;;;;;;;;
шпаклевки (шпатлевки);875;831;357;112;110548;0.29028571428571426;0.30532212885154064;0.12457142857142857;21;;;;;;;;;;;;;;;;;;;;;;;;;;
капельный полив;871;807;394;78;161392;0.21928817451205512;0.17766497461928935;0.08036739380022963;15;;;;;;;;;;;;;;;;;;;;;;;;;;
мешки-пылесборники для пылесосов;870;818;308;122;160112;0.28045977011494255;0.37662337662337664;0.13333333333333333;32;;;;;;;;;;;;;;;;;;;;;;;;;;
скарификатор;869;801;140;49;1149958;0.1334867663981588;0.32857142857142857;0.05293440736478711;12;;;;;;;;;;;;;;;;;;;;;;;;;;
электрические садовые измельчители;858;798;154;40;710098;0.14801864801864803;0.2597402597402597;0.046620046620046623;34;;;;;;;;;;;;;;;;;;;;;;;;;;
магистральные фильтры для воды;858;807;297;55;150180;0.21561771561771562;0.17845117845117844;0.06177156177156177;30;;;;;;;;;;;;;;;;;;;;;;;;;;
электрические газонокосилки;853;793;240;33;409163;0.16998827667057445;0.1375;0.038686987104337635;27;;;;;;;;;;;;;;;;;;;;;;;;;;
провод и кабель пвс;852;803;337;126;841890;0.29577464788732394;0.34718100890207715;0.13732394366197184;19;;;;;;;;;;;;;;;;;;;;;;;;;;
станки;850;819;79;8;300411;0.06470588235294118;0.10126582278481013;0.009411764705882352;6;;;;;;;;;;;;;;;;;;;;;;;;;;
плазморезы;849;778;98;16;471984;0.07891637220259129;0.15306122448979592;0.0176678445229682;10;;;;;;;;;;;;;;;;;;;;;;;;;;
